# Program:featureCounts v1.6.0; Command:"/home/classadmin/mat/software/subread-1.6.0-Linux-x86_64/bin/featureCounts" "-a" "/home/classadmin/mat/referenceGenomes/S_cerevisiae//Saccharomyces_cerevisiae.R64-1-1.81.gtf" "-o" "featCounts_genes.txt" "/home/classadmin/mat/precomputed/results_alignment/SNF2_1_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/SNF2_2_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/SNF2_3_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/SNF2_4_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/SNF2_5_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/WT_1_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/WT_2_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/WT_3_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/WT_4_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/WT_5_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/classadmin/mat/precomputed/results_alignment/SNF2_1_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/SNF2_2_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/SNF2_3_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/SNF2_4_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/SNF2_5_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/WT_1_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/WT_2_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/WT_3_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/WT_4_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/WT_5_Aligned.sortedByCoord.out.bam
YDL248W	IV	1802	2953	+	1152	109	84	100	112	62	47	65	60	95	43
YDL247W-A	IV	3762	3836	+	75	0	1	1	0	3	0	0	1	0	0
YDL247W	IV	5985	7814	+	1830	6	6	1	3	4	2	3	4	7	9
YDL246C	IV	8683	9756	-	1074	6	6	1	4	4	1	3	2	4	0
YDL245C	IV	11657	13360	-	1704	1	6	9	5	3	6	2	5	5	6
YDL244W	IV	16204	17226	+	1023	79	59	49	60	37	9	8	12	30	14
YDL243C	IV	17577	18566	-	990	363	289	243	352	241	192	169	190	309	171
YDL242W	IV	18959	19312	+	354	41	22	26	26	22	25	30	18	42	27
YDL241W	IV	20635	21006	+	372	143	119	115	135	96	239	343	251	555	323
YDL240C-A	IV	22471	22608	-	138	2	4	1	5	3	2	0	1	3	1
YDL240W	IV	22823	25876	+	3054	670	470	429	680	347	185	493	326	432	506
YDL239C	IV	26403	28775	-	2373	243	163	232	373	134	105	161	169	204	156
YDL238C	IV	28985	30454	-	1470	381	335	302	351	233	305	231	279	444	179
YDL237W	IV	30657	31829	+	1173	1088	882	912	1095	735	435	636	622	966	561
YDL236W	IV	32296	33234	+	939	1961	1636	1775	1972	1305	1065	1422	1096	1922	1449
YDL235C	IV	33415	33918	-	504	696	524	437	682	411	196	493	435	430	400
YDL234C	IV	34237	36477	-	2241	1534	1398	1479	1704	1091	1123	1282	1007	2911	931
YDL233W	IV	36797	38173	+	1377	635	615	640	724	470	290	363	300	533	296
YDL232W	IV	38487	38597	+	111	376	304	238	373	329	169	224	191	325	237
YDL231C	IV	38867	42244	-	3378	1203	826	882	1162	692	467	754	579	886	789
YDL230W	IV	42700	43707	+	1008	934	659	587	800	556	396	504	425	623	494
YDL229W	IV	44065	45906	+	1842	3466	3023	3066	3223	1919	4069	4789	3059	5663	5339
YDL228C	IV	45277	45918	-	642	61	16	30	25	7	17	49	27	37	37
YDL227C	IV	46271	48031	-	1761	51	31	39	49	40	87	175	123	105	185
YDL226C	IV	51115	52173	-	1059	1556	1418	1361	1840	1075	796	1021	876	1380	1107
YDL225W	IV	52445	54100	+	1656	1215	908	1080	1418	715	395	743	617	842	803
